,date,Branch,City,Customer_Type,Gender,Product name,Unit price,Quantity,Tax 5%,Total,Payment,Shipping_Method,Invoice ID,Date,Time,cogs,gross margin percentage,gross income,Rating
440,2019-01-15,C,Naypyitaw,Existing,Male,Food and beverages,17.44,5,4.36,91.56,Cash,Customer Paid,450-28-2866,1/15/2019,19:25,87.2,4.761904762,4.36,8.1
632,2019-01-15,A,Yangon,Existing,Male,Food and beverages,83.77,2,8.377,175.917,Credit card,Free,589-02-8023,1/15/2019,10:54,167.54,4.761904762,8.377,7.0
838,2019-01-15,C,Naypyitaw,New,Male,Electronic accessories,55.87,10,27.935,586.635,Cash,Customer Paid,660-29-7083,1/15/2019,15:01,558.7,4.761904762,27.935,5.8
687,2019-01-16,A,Yangon,Existing,Male,Home and lifestyle,63.56,10,31.78,667.38,Cash,Customer Paid,648-83-1321,1/16/2019,17:59,635.6,4.761904762,31.78,4.3
166,2019-01-16,C,Naypyitaw,New,Male,Home and lifestyle,95.58,10,47.79,1003.59,Cash,Customer Paid,234-65-2137,1/16/2019,13:32,955.8,4.761904762,47.79,4.8
211,2019-01-16,C,Naypyitaw,New,Female,Food and beverages,93.26,9,41.967,881.307,Cash,Customer Paid,677-11-0152,1/16/2019,18:08,839.34,4.761904762,41.967,8.8
806,2019-01-16,A,Yangon,New,Female,Sports and travel,93.18,2,9.318,195.678,Credit card,Free,618-34-8551,1/16/2019,18:41,186.36,4.761904762,9.318,8.5
510,2019-01-16,B,Mandalay,Existing,Female,Sports and travel,90.74,7,31.759,666.939,Credit card,Free,347-72-6115,1/16/2019,18:03,635.18,4.761904762,31.759,6.2
648,2019-01-16,C,Naypyitaw,Existing,Female,Sports and travel,15.49,2,1.549,32.529,Cash,Customer Paid,859-71-0933,1/16/2019,15:10,30.98,4.761904762,1.549,6.3
526,2019-01-16,B,Mandalay,New,Male,Fashion accessories,39.21,4,7.842,164.682,Credit card,Free,286-62-6248,1/16/2019,20:03,156.84,4.761904762,7.842,9.0
661,2019-01-16,C,Naypyitaw,Existing,Male,Sports and travel,17.14,7,5.999,125.979,Credit card,Free,842-29-4695,1/16/2019,12:07,119.98,4.761904762,5.999,7.9
694,2019-01-16,C,Naypyitaw,New,Female,Food and beverages,52.6,9,23.67,497.07,Cash,Customer Paid,372-62-5264,1/16/2019,14:42,473.4,4.761904762,23.67,7.6
117,2019-01-16,B,Mandalay,Existing,Male,Fashion accessories,51.36,1,2.568,53.928,Ewallet,Free,659-65-8956,1/16/2019,15:26,51.36,4.761904762,2.568,5.2
622,2019-01-17,B,Mandalay,Existing,Female,Home and lifestyle,94.59,7,33.1065,695.2365,Credit card,Free,670-79-6321,1/17/2019,15:27,662.13,4.761904762,33.1065,4.9
669,2019-01-17,B,Mandalay,New,Female,Sports and travel,40.62,2,4.062,85.302,Credit card,Free,679-22-6530,1/17/2019,10:01,81.24,4.761904762,4.062,4.1
565,2019-01-17,A,Yangon,New,Female,Food and beverages,81.21,10,40.605,852.705,Credit card,Free,698-98-5964,1/17/2019,13:01,812.1,4.761904762,40.605,6.3
519,2019-01-17,C,Naypyitaw,Existing,Male,Sports and travel,71.92,5,17.98,377.58,Credit card,Free,600-38-9738,1/17/2019,15:05,359.6,4.761904762,17.98,4.3
867,2019-01-17,C,Naypyitaw,Existing,Female,Health and beauty,62.82,2,6.282,131.922,Ewallet,Free,101-81-4070,1/17/2019,12:36,125.64,4.761904762,6.282,4.9
609,2019-01-17,B,Mandalay,Existing,Male,Food and beverages,57.89,2,5.789,121.569,Ewallet,Free,349-97-8902,1/17/2019,10:37,115.78,4.761904762,5.789,8.9
709,2019-01-17,A,Yangon,New,Male,Sports and travel,25.7,3,3.855,80.955,Ewallet,Free,445-30-9252,1/17/2019,17:59,77.1,4.761904762,3.855,6.1
789,2019-01-17,A,Yangon,New,Male,Sports and travel,58.91,7,20.6185,432.9885,Ewallet,Free,497-37-6538,1/17/2019,15:15,412.37,4.761904762,20.6185,9.7
324,2019-01-17,A,Yangon,New,Male,Home and lifestyle,21.52,6,6.456,135.576,Credit card,Free,746-54-5508,1/17/2019,12:48,129.12,4.761904762,6.456,9.4
774,2019-01-17,C,Naypyitaw,Existing,Male,Food and beverages,65.65,2,6.565,137.865,Cash,Customer Paid,200-16-5952,1/17/2019,16:46,131.3,4.761904762,6.565,6.0
40,2019-01-17,B,Mandalay,Existing,Female,Home and lifestyle,86.72,1,4.336,91.056,Ewallet,Free,280-35-5823,1/17/2019,18:45,86.72,4.761904762,4.336,7.9
873,2019-01-18,A,Yangon,Existing,Male,Sports and travel,89.06,6,26.718,561.078,Cash,Customer Paid,166-19-2553,1/18/2019,17:26,534.36,4.761904762,26.718,9.9
721,2019-01-18,C,Naypyitaw,Existing,Female,Sports and travel,90.63,9,40.7835,856.4535,Cash,Customer Paid,678-79-0726,1/18/2019,15:28,815.67,4.761904762,40.7835,5.1
321,2019-01-18,C,Naypyitaw,New,Female,Health and beauty,39.42,1,1.971,41.391,Cash,Customer Paid,622-20-1945,1/18/2019,15:08,39.42,4.761904762,1.971,8.4
657,2019-01-18,A,Yangon,Existing,Female,Fashion accessories,88.15,3,13.2225,277.6725,Ewallet,Free,562-12-5430,1/18/2019,10:11,264.45,4.761904762,13.2225,7.9
719,2019-01-18,B,Mandalay,Existing,Female,Fashion accessories,17.48,6,5.244,110.124,Credit card,Free,821-14-9046,1/18/2019,15:04,104.88,4.761904762,5.244,6.1
136,2019-01-18,A,Yangon,New,Female,Electronic accessories,26.31,5,6.5775,138.1275,Credit card,Free,700-81-1757,1/18/2019,20:59,131.55,4.761904762,6.5775,8.8
645,2019-01-18,A,Yangon,Existing,Male,Home and lifestyle,19.36,9,8.712,182.952,Ewallet,Free,706-36-6154,1/18/2019,18:43,174.24,4.761904762,8.712,8.7
174,2019-01-18,B,Mandalay,New,Male,Food and beverages,19.79,8,7.916,166.236,Ewallet,Free,414-12-7047,1/18/2019,12:04,158.32,4.761904762,7.916,8.7
896,2019-01-18,C,Naypyitaw,New,Male,Fashion accessories,60.74,7,21.259,446.439,Ewallet,Free,781-84-8059,1/18/2019,16:23,425.18,4.761904762,21.259,5.0
405,2019-01-19,A,Yangon,Existing,Male,Sports and travel,67.26,4,13.452,282.492,Credit card,Free,882-40-4577,1/19/2019,15:28,269.04,4.761904762,13.452,8.0
849,2019-01-19,A,Yangon,New,Female,Fashion accessories,99.1,6,29.73,624.33,Cash,Customer Paid,125-45-2293,1/19/2019,13:11,594.6,4.761904762,29.73,4.2
942,2019-01-19,A,Yangon,New,Female,Home and lifestyle,45.68,10,22.84,479.64,Ewallet,Free,809-69-9497,1/19/2019,19:30,456.8,4.761904762,22.84,5.7
817,2019-01-19,A,Yangon,New,Male,Food and beverages,33.88,8,13.552,284.592,Ewallet,Free,832-51-6761,1/19/2019,20:29,271.04,4.761904762,13.552,9.6
630,2019-01-19,A,Yangon,New,Male,Sports and travel,64.19,10,32.095,673.995,Credit card,Free,149-61-1929,1/19/2019,14:08,641.9,4.761904762,32.095,6.7
173,2019-01-19,B,Mandalay,Existing,Male,Electronic accessories,52.89,6,15.867,333.207,Credit card,Free,608-27-6295,1/19/2019,17:34,317.34,4.761904762,15.867,9.8
113,2019-01-19,A,Yangon,Existing,Male,Home and lifestyle,58.07,9,26.1315,548.7615,Ewallet,Free,645-44-1170,1/19/2019,20:07,522.63,4.761904762,26.1315,4.3
584,2019-01-19,B,Mandalay,New,Male,Sports and travel,63.06,3,9.459,198.639,Ewallet,Free,375-72-3056,1/19/2019,15:58,189.18,4.761904762,9.459,7.0
879,2019-01-19,B,Mandalay,Existing,Female,Electronic accessories,12.1,8,4.84,101.64,Ewallet,Free,761-49-0439,1/19/2019,10:17,96.8,4.761904762,4.84,8.6
168,2019-01-19,A,Yangon,New,Male,Food and beverages,51.28,6,15.384,323.064,Cash,Customer Paid,796-32-9050,1/19/2019,16:31,307.68,4.761904762,15.384,6.5
613,2019-01-19,C,Naypyitaw,Existing,Male,Sports and travel,80.93,1,4.0465,84.9765,Credit card,Free,284-54-4231,1/19/2019,16:08,80.93,4.761904762,4.0465,9.0
911,2019-01-19,C,Naypyitaw,New,Female,Electronic accessories,56.13,4,11.226,235.746,Ewallet,Free,151-27-8496,1/19/2019,11:43,224.52,4.761904762,11.226,8.6
160,2019-01-19,C,Naypyitaw,New,Female,Food and beverages,43.18,8,17.272,362.712,Credit card,Free,894-41-5205,1/19/2019,19:39,345.44,4.761904762,17.272,8.3
717,2019-01-19,A,Yangon,Existing,Male,Electronic accessories,11.94,3,1.791,37.611,Credit card,Free,482-17-1179,1/19/2019,12:47,35.82,4.761904762,1.791,8.1
980,2019-01-19,C,Naypyitaw,Existing,Male,Food and beverages,59.59,4,11.918,250.278,Cash,Customer Paid,728-47-9078,1/19/2019,12:46,238.36,4.761904762,11.918,9.8
299,2019-01-19,C,Naypyitaw,Existing,Female,Home and lifestyle,88.61,1,4.4305,93.0405,Cash,Customer Paid,779-06-0012,1/19/2019,10:21,88.61,4.761904762,4.4305,7.7
933,2019-01-20,C,Naypyitaw,New,Male,Health and beauty,64.08,7,22.428,470.988,Ewallet,Free,458-10-8612,1/20/2019,12:27,448.56,4.761904762,22.428,7.6
555,2019-01-20,B,Mandalay,New,Male,Home and lifestyle,37.48,3,5.622,118.062,Credit card,Free,356-44-8813,1/20/2019,13:45,112.44,4.761904762,5.622,7.7
436,2019-01-20,C,Naypyitaw,Existing,Male,Sports and travel,82.93,4,16.586,348.306,Ewallet,Free,257-73-1380,1/20/2019,16:51,331.72,4.761904762,16.586,9.6
708,2019-01-20,C,Naypyitaw,New,Male,Fashion accessories,15.62,8,6.248,131.208,Ewallet,Free,760-27-5490,1/20/2019,20:37,124.96,4.761904762,6.248,9.1
762,2019-01-20,A,Yangon,Existing,Female,Fashion accessories,63.88,8,25.552,536.592,Ewallet,Free,410-67-1709,1/20/2019,17:48,511.04,4.761904762,25.552,9.9
58,2019-01-20,A,Yangon,Existing,Female,Home and lifestyle,72.35,10,36.175,759.675,Cash,Customer Paid,817-48-8732,1/20/2019,15:55,723.5,4.761904762,36.175,5.4
347,2019-01-20,C,Naypyitaw,Existing,Female,Home and lifestyle,89.25,8,35.7,749.7,Cash,Customer Paid,725-96-3778,1/20/2019,10:13,714.0,4.761904762,35.7,4.7
764,2019-01-20,A,Yangon,Existing,Male,Health and beauty,55.5,4,11.1,233.1,Credit card,Free,787-87-2010,1/20/2019,15:48,222.0,4.761904762,11.1,6.6
119,2019-01-20,B,Mandalay,New,Male,Home and lifestyle,53.44,2,5.344,112.224,Ewallet,Free,378-24-2715,1/20/2019,20:38,106.88,4.761904762,5.344,4.1
235,2019-01-20,A,Yangon,New,Female,Sports and travel,93.14,2,9.314,195.594,Ewallet,Free,645-78-8093,1/20/2019,18:09,186.28,4.761904762,9.314,4.1
18,2019-01-21,A,Yangon,New,Male,Food and beverages,54.67,3,8.2005,172.2105,Credit card,Free,329-62-1586,1/21/2019,18:00,164.01,4.761904762,8.2005,8.6
426,2019-01-21,A,Yangon,Existing,Male,Health and beauty,53.17,7,18.6095,390.7995,Cash,Customer Paid,269-10-8440,1/21/2019,18:01,372.19,4.761904762,18.6095,8.9
80,2019-01-21,C,Naypyitaw,New,Female,Health and beauty,99.19,6,29.757,624.897,Credit card,Free,870-72-4431,1/21/2019,14:42,595.14,4.761904762,29.757,5.5
144,2019-01-21,A,Yangon,New,Female,Home and lifestyle,77.95,6,23.385,491.085,Ewallet,Free,239-10-7476,1/21/2019,16:37,467.7,4.761904762,23.385,8.0
293,2019-01-21,A,Yangon,Existing,Female,Food and beverages,36.36,2,3.636,76.356,Cash,Customer Paid,316-68-6352,1/21/2019,10:00,72.72,4.761904762,3.636,7.1
498,2019-01-21,B,Mandalay,Existing,Female,Sports and travel,98.13,1,4.9065,103.0365,Cash,Customer Paid,401-18-8016,1/21/2019,17:36,98.13,4.761904762,4.9065,8.9
707,2019-01-21,C,Naypyitaw,Existing,Male,Food and beverages,68.98,1,3.449,72.429,Cash,Customer Paid,162-65-8559,1/21/2019,20:13,68.98,4.761904762,3.449,4.8
363,2019-01-21,A,Yangon,New,Male,Home and lifestyle,73.22,6,21.966,461.286,Cash,Customer Paid,462-67-9126,1/21/2019,17:44,439.32,4.761904762,21.966,7.2
540,2019-01-22,A,Yangon,New,Male,Home and lifestyle,30.68,3,4.602,96.642,Ewallet,Free,460-35-4390,1/22/2019,11:00,92.04,4.761904762,4.602,9.1
74,2019-01-22,A,Yangon,New,Male,Home and lifestyle,74.67,9,33.6015,705.6315,Ewallet,Free,287-21-9091,1/22/2019,10:55,672.03,4.761904762,33.6015,9.4
517,2019-01-22,C,Naypyitaw,Existing,Male,Home and lifestyle,39.39,5,9.8475,206.7975,Credit card,Free,521-18-7827,1/22/2019,20:46,196.95,4.761904762,9.8475,8.7
651,2019-01-22,B,Mandalay,New,Female,Health and beauty,55.81,6,16.743,351.603,Cash,Customer Paid,563-47-4072,1/22/2019,11:52,334.86,4.761904762,16.743,9.9
417,2019-01-22,C,Naypyitaw,Existing,Female,Health and beauty,81.51,1,4.0755,85.5855,Ewallet,Free,186-09-3669,1/22/2019,10:57,81.51,4.761904762,4.0755,9.2
79,2019-01-22,C,Naypyitaw,New,Female,Health and beauty,20.38,5,5.095,106.995,Cash,Customer Paid,756-01-7507,1/22/2019,18:56,101.9,4.761904762,5.095,6.0
775,2019-01-22,B,Mandalay,New,Female,Food and beverages,28.86,5,7.215,151.515,Credit card,Free,120-54-2248,1/22/2019,18:08,144.3,4.761904762,7.215,8.0
859,2019-01-23,A,Yangon,Existing,Female,Food and beverages,47.63,9,21.4335,450.1035,Cash,Customer Paid,316-66-3011,1/23/2019,12:35,428.67,4.761904762,21.4335,5.0
983,2019-01-23,C,Naypyitaw,New,Male,Health and beauty,99.96,7,34.986,734.706,Cash,Customer Paid,148-41-7930,1/23/2019,10:33,699.72,4.761904762,34.986,6.1
787,2019-01-23,C,Naypyitaw,New,Female,Health and beauty,10.99,5,2.7475,57.6975,Credit card,Free,790-38-4466,1/23/2019,10:18,54.95,4.761904762,2.7475,9.3
549,2019-01-23,A,Yangon,New,Female,Electronic accessories,66.06,6,19.818,416.178,Cash,Customer Paid,213-32-1216,1/23/2019,10:28,396.36,4.761904762,19.818,7.3
854,2019-01-23,A,Yangon,Existing,Female,Health and beauty,95.95,5,23.9875,503.7375,Ewallet,Free,160-22-2687,1/23/2019,14:21,479.75,4.761904762,23.9875,8.8
608,2019-01-23,A,Yangon,New,Male,Fashion accessories,30.61,1,1.5305,32.1405,Ewallet,Free,318-12-0304,1/23/2019,12:20,30.61,4.761904762,1.5305,5.2
421,2019-01-23,C,Naypyitaw,New,Female,Electronic accessories,84.05,3,12.6075,264.7575,Cash,Customer Paid,740-22-2500,1/23/2019,13:29,252.15,4.761904762,12.6075,9.8
618,2019-01-23,A,Yangon,Existing,Male,Food and beverages,98.53,6,29.559,620.739,Credit card,Free,828-46-6863,1/23/2019,11:22,591.18,4.761904762,29.559,4.0
90,2019-01-23,C,Naypyitaw,Existing,Female,Home and lifestyle,47.38,4,9.476,198.996,Cash,Customer Paid,565-80-5980,1/23/2019,10:25,189.52,4.761904762,9.476,7.1
140,2019-01-23,C,Naypyitaw,Existing,Female,Sports and travel,89.8,10,44.9,942.9,Credit card,Free,731-81-9469,1/23/2019,13:00,898.0,4.761904762,44.9,5.4
82,2019-01-23,C,Naypyitaw,New,Male,Food and beverages,19.25,8,7.7,161.7,Ewallet,Free,480-63-2856,1/23/2019,18:37,154.0,4.761904762,7.7,6.6
181,2019-01-23,C,Naypyitaw,Existing,Male,Food and beverages,38.47,8,15.388,323.148,Cash,Customer Paid,434-83-9547,1/23/2019,11:51,307.76,4.761904762,15.388,7.7
981,2019-01-23,A,Yangon,New,Male,Health and beauty,58.15,4,11.63,244.23,Cash,Customer Paid,809-46-1866,1/23/2019,17:44,232.6,4.761904762,11.63,8.4
470,2019-01-23,C,Naypyitaw,Existing,Female,Home and lifestyle,83.77,6,25.131,527.751,Ewallet,Free,767-05-1286,1/23/2019,12:10,502.62,4.761904762,25.131,5.4
247,2019-01-23,A,Yangon,Existing,Male,Fashion accessories,17.94,5,4.485,94.185,Ewallet,Free,604-70-6476,1/23/2019,14:04,89.7,4.761904762,4.485,6.8
600,2019-01-23,C,Naypyitaw,New,Male,Electronic accessories,83.08,1,4.154,87.234,Ewallet,Free,219-61-4139,1/23/2019,17:16,83.08,4.761904762,4.154,6.4
816,2019-01-23,C,Naypyitaw,New,Female,Fashion accessories,45.44,7,15.904,333.984,Cash,Customer Paid,477-59-2456,1/23/2019,11:15,318.08,4.761904762,15.904,9.2
531,2019-01-24,A,Yangon,Existing,Male,Fashion accessories,86.68,8,34.672,728.112,Credit card,Free,435-13-4908,1/24/2019,18:04,693.44,4.761904762,34.672,7.2
684,2019-01-24,B,Mandalay,Existing,Female,Sports and travel,23.08,6,6.924,145.404,Ewallet,Free,510-79-0415,1/24/2019,19:20,138.48,4.761904762,6.924,4.9
935,2019-01-24,C,Naypyitaw,Existing,Male,Home and lifestyle,85.72,3,12.858,270.018,Ewallet,Free,235-06-8510,1/24/2019,20:59,257.16,4.761904762,12.858,5.1
290,2019-01-24,B,Mandalay,Existing,Male,Electronic accessories,40.3,10,20.15,423.15,Credit card,Free,139-20-0155,1/24/2019,17:37,403.0,4.761904762,20.15,7.0
68,2019-01-24,A,Yangon,New,Male,Sports and travel,78.77,10,39.385,827.085,Cash,Customer Paid,232-11-3025,1/24/2019,10:04,787.7,4.761904762,39.385,6.4
733,2019-01-24,B,Mandalay,New,Male,Electronic accessories,75.88,7,26.558,557.718,Ewallet,Free,438-23-1242,1/24/2019,10:38,531.16,4.761904762,26.558,8.9
753,2019-01-24,B,Mandalay,New,Male,Home and lifestyle,73.28,5,18.32,384.72,Ewallet,Free,775-72-1988,1/24/2019,15:05,366.4,4.761904762,18.32,8.4
991,2019-01-24,B,Mandalay,New,Female,Sports and travel,76.6,10,38.3,804.3,Ewallet,Free,602-16-6955,1/24/2019,18:10,766.0,4.761904762,38.3,6.0
796,2019-01-24,C,Naypyitaw,Existing,Female,Home and lifestyle,60.87,1,3.0435,63.9135,Cash,Customer Paid,443-60-9639,1/24/2019,13:24,60.87,4.761904762,3.0435,5.5
612,2019-01-24,B,Mandalay,Existing,Male,Fashion accessories,93.22,3,13.983,293.643,Cash,Customer Paid,789-23-8625,1/24/2019,11:45,279.66,4.761904762,13.983,7.2
814,2019-01-24,A,Yangon,Existing,Female,Electronic accessories,48.62,8,19.448,408.408,Cash,Customer Paid,778-34-2523,1/24/2019,10:57,388.96,4.761904762,19.448,5.0
830,2019-01-24,A,Yangon,New,Male,Electronic accessories,10.56,8,4.224,88.704,Cash,Customer Paid,237-44-6163,1/24/2019,17:43,84.48,4.761904762,4.224,7.6
395,2019-01-24,A,Yangon,New,Female,Health and beauty,77.5,5,19.375,406.875,Ewallet,Free,726-27-2396,1/24/2019,20:36,387.5,4.761904762,19.375,4.3
371,2019-01-25,B,Mandalay,New,Female,Fashion accessories,60.96,2,6.096,128.016,Credit card,Free,261-12-8671,1/25/2019,19:39,121.92,4.761904762,6.096,4.9
288,2019-01-25,B,Mandalay,New,Female,Food and beverages,48.51,7,16.9785,356.5485,Credit card,Free,283-79-9594,1/25/2019,13:30,339.57,4.761904762,16.9785,5.2
328,2019-01-25,B,Mandalay,Existing,Male,Health and beauty,51.13,4,10.226,214.746,Credit card,Free,730-61-8757,1/25/2019,10:11,204.52,4.761904762,10.226,4.0
471,2019-01-25,A,Yangon,Existing,Female,Sports and travel,40.05,4,8.01,168.21,Cash,Customer Paid,340-21-9136,1/25/2019,11:40,160.2,4.761904762,8.01,9.7
298,2019-01-25,A,Yangon,Existing,Male,Home and lifestyle,60.01,4,12.002,252.042,Cash,Customer Paid,307-83-9164,1/25/2019,15:54,240.04,4.761904762,12.002,4.5
411,2019-01-25,B,Mandalay,New,Male,Sports and travel,21.87,2,2.187,45.927,Ewallet,Free,569-71-4390,1/25/2019,14:29,43.74,4.761904762,2.187,6.9
415,2019-01-25,B,Mandalay,New,Male,Health and beauty,96.11,1,4.8055,100.9155,Ewallet,Free,268-03-6164,1/25/2019,16:28,96.11,4.761904762,4.8055,7.8
53,2019-01-25,C,Naypyitaw,Existing,Male,Fashion accessories,15.43,1,0.7715,16.2015,Credit card,Free,778-71-5554,1/25/2019,15:46,15.43,4.761904762,0.7715,6.1
28,2019-01-25,B,Mandalay,New,Female,Food and beverages,88.36,5,22.09,463.89,Cash,Customer Paid,145-94-9061,1/25/2019,19:48,441.8,4.761904762,22.09,9.6
850,2019-01-25,A,Yangon,New,Male,Fashion accessories,74.1,1,3.705,77.805,Cash,Customer Paid,843-73-4724,1/25/2019,11:05,74.1,4.761904762,3.705,9.2
130,2019-01-25,B,Mandalay,New,Female,Fashion accessories,39.62,7,13.867,291.207,Cash,Customer Paid,191-10-6171,1/25/2019,13:18,277.34,4.761904762,13.867,7.5
754,2019-01-25,C,Naypyitaw,Existing,Female,Fashion accessories,84.87,3,12.7305,267.3405,Ewallet,Free,288-38-3758,1/25/2019,18:30,254.61,4.761904762,12.7305,7.4
141,2019-01-25,C,Naypyitaw,Existing,Male,Health and beauty,90.5,10,45.25,950.25,Cash,Customer Paid,280-17-4359,1/25/2019,13:48,905.0,4.761904762,45.25,8.1
690,2019-01-25,C,Naypyitaw,Existing,Female,Sports and travel,70.19,9,31.5855,663.2955,Cash,Customer Paid,394-55-6384,1/25/2019,13:38,631.71,4.761904762,31.5855,6.7
183,2019-01-25,C,Naypyitaw,New,Male,Health and beauty,34.31,8,13.724,288.204,Ewallet,Free,824-88-3614,1/25/2019,15:00,274.48,4.761904762,13.724,5.7
210,2019-01-25,A,Yangon,New,Male,Electronic accessories,26.23,9,11.8035,247.8735,Ewallet,Free,888-02-0338,1/25/2019,20:24,236.07,4.761904762,11.8035,5.9
628,2019-01-25,A,Yangon,Existing,Male,Home and lifestyle,53.3,3,7.995,167.895,Ewallet,Free,856-66-2701,1/25/2019,14:19,159.9,4.761904762,7.995,7.5
601,2019-01-26,C,Naypyitaw,New,Female,Fashion accessories,64.99,1,3.2495,68.2395,Credit card,Free,881-41-7302,1/26/2019,10:06,64.99,4.761904762,3.2495,4.5
844,2019-01-26,A,Yangon,New,Male,Fashion accessories,21.32,1,1.066,22.386,Cash,Customer Paid,896-34-0956,1/26/2019,12:43,21.32,4.761904762,1.066,5.9
629,2019-01-26,A,Yangon,New,Female,Fashion accessories,12.09,1,0.6045,12.6945,Credit card,Free,308-39-1707,1/26/2019,18:19,12.09,4.761904762,0.6045,8.2
625,2019-01-26,B,Mandalay,Existing,Female,Food and beverages,78.88,2,7.888,165.648,Cash,Customer Paid,135-13-8269,1/26/2019,16:04,157.76,4.761904762,7.888,9.1
548,2019-01-26,B,Mandalay,New,Female,Sports and travel,51.54,5,12.885,270.585,Cash,Customer Paid,539-21-7227,1/26/2019,17:45,257.7,4.761904762,12.885,4.2
964,2019-01-26,B,Mandalay,New,Male,Food and beverages,33.33,2,3.333,69.993,Credit card,Free,794-42-3736,1/26/2019,14:41,66.66,4.761904762,3.333,6.4
81,2019-01-26,B,Mandalay,New,Female,Food and beverages,96.68,3,14.502,304.542,Ewallet,Free,847-38-7188,1/26/2019,19:56,290.04,4.761904762,14.502,6.4
351,2019-01-26,A,Yangon,New,Male,Electronic accessories,51.69,7,18.0915,379.9215,Cash,Customer Paid,834-61-8124,1/26/2019,18:22,361.83,4.761904762,18.0915,5.5
226,2019-01-26,B,Mandalay,Existing,Male,Health and beauty,69.37,9,31.2165,655.5465,Ewallet,Free,836-82-5858,1/26/2019,19:14,624.33,4.761904762,31.2165,4.0
193,2019-01-26,B,Mandalay,New,Male,Home and lifestyle,25.55,4,5.11,107.31,Ewallet,Free,641-43-2399,1/26/2019,20:23,102.2,4.761904762,5.11,5.7
598,2019-01-26,C,Naypyitaw,New,Female,Fashion accessories,36.85,5,9.2125,193.4625,Cash,Customer Paid,258-69-7810,1/26/2019,18:53,184.25,4.761904762,9.2125,9.2
972,2019-01-26,B,Mandalay,New,Male,Electronic accessories,87.08,7,30.478,640.038,Cash,Customer Paid,452-04-8808,1/26/2019,15:17,609.56,4.761904762,30.478,5.5
230,2019-01-26,B,Mandalay,New,Female,Fashion accessories,81.37,2,8.137,170.877,Cash,Customer Paid,289-65-5721,1/26/2019,19:28,162.74,4.761904762,8.137,6.5
171,2019-01-26,B,Mandalay,Existing,Male,Food and beverages,80.05,5,20.0125,420.2625,Credit card,Free,316-55-4634,1/26/2019,12:45,400.25,4.761904762,20.0125,9.4
391,2019-01-26,B,Mandalay,New,Female,Fashion accessories,37.95,10,18.975,398.475,Cash,Customer Paid,173-82-9529,1/26/2019,14:51,379.5,4.761904762,18.975,9.7
91,2019-01-26,C,Naypyitaw,New,Female,Sports and travel,44.86,10,22.43,471.03,Ewallet,Free,225-32-0908,1/26/2019,19:54,448.6,4.761904762,22.43,8.2
865,2019-01-26,C,Naypyitaw,Existing,Male,Health and beauty,33.81,3,5.0715,106.5015,Ewallet,Free,176-78-1170,1/26/2019,15:11,101.43,4.761904762,5.0715,7.3
388,2019-01-27,C,Naypyitaw,Existing,Female,Fashion accessories,54.07,9,24.3315,510.9615,Ewallet,Free,394-41-0748,1/27/2019,14:55,486.63,4.761904762,24.3315,9.5
3,2019-01-27,A,Yangon,Existing,Male,Health and beauty,58.22,8,23.288,489.048,Ewallet,Free,123-19-1176,1/27/2019,20:33,465.76,4.761904762,23.288,8.4
458,2019-01-27,C,Naypyitaw,Existing,Female,Electronic accessories,46.57,10,23.285,488.985,Cash,Customer Paid,325-90-8763,1/27/2019,13:58,465.7,4.761904762,23.285,7.6
818,2019-01-27,B,Mandalay,Existing,Male,Health and beauty,96.16,4,19.232,403.872,Credit card,Free,869-11-3082,1/27/2019,20:03,384.64,4.761904762,19.232,8.4
497,2019-01-27,C,Naypyitaw,New,Female,Food and beverages,90.24,6,27.072,568.512,Cash,Customer Paid,862-59-8517,1/27/2019,11:17,541.44,4.761904762,27.072,6.2
846,2019-01-27,A,Yangon,Existing,Male,Electronic accessories,73.26,1,3.663,76.923,Ewallet,Free,585-90-0249,1/27/2019,18:08,73.26,4.761904762,3.663,9.7
126,2019-01-27,A,Yangon,New,Female,Sports and travel,32.25,5,8.0625,169.3125,Cash,Customer Paid,870-54-3162,1/27/2019,13:26,161.25,4.761904762,8.0625,9.0
909,2019-01-27,B,Mandalay,New,Female,Home and lifestyle,49.01,10,24.505,514.605,Credit card,Free,624-01-8356,1/27/2019,10:44,490.1,4.761904762,24.505,4.2
512,2019-01-27,A,Yangon,New,Female,Fashion accessories,54.28,7,18.998,398.958,Ewallet,Free,595-27-4851,1/27/2019,18:05,379.96,4.761904762,18.998,9.3
524,2019-01-27,A,Yangon,New,Male,Food and beverages,81.71,6,24.513,514.773,Credit card,Free,534-01-4457,1/27/2019,14:36,490.26,4.761904762,24.513,8.0
591,2019-01-27,C,Naypyitaw,Existing,Female,Home and lifestyle,24.24,7,8.484,178.164,Ewallet,Free,788-07-8452,1/27/2019,17:38,169.68,4.761904762,8.484,9.4
368,2019-01-27,C,Naypyitaw,New,Female,Sports and travel,14.36,10,7.18,150.78,Cash,Customer Paid,613-59-9758,1/27/2019,14:28,143.6,4.761904762,7.18,5.4
273,2019-01-27,A,Yangon,New,Female,Home and lifestyle,12.03,2,1.203,25.263,Cash,Customer Paid,633-91-1052,1/27/2019,15:51,24.06,4.761904762,1.203,5.1
502,2019-01-27,C,Naypyitaw,New,Male,Home and lifestyle,69.4,2,6.94,145.74,Ewallet,Free,620-02-2046,1/27/2019,19:48,138.8,4.761904762,6.94,9.0
